Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
02/02/2022,01/01/2020,01/29/2022,AK,Aleutians East Borough,2013,Noncore,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Anchorage Municipality,2020,Medium metro,592,5165,
02/02/2022,01/01/2020,01/29/2022,AK,Bethel Census Area,2050,Noncore,29,239,
02/02/2022,01/01/2020,01/29/2022,AK,Denali Borough,2068,Noncore,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Dillingham Census Area,2070,Noncore,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Fairbanks North Star Borough,2090,Small metro,148,1237,
02/02/2022,01/01/2020,01/29/2022,AK,Hoonah-Angoon Census Area,2105,Noncore,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Juneau City and Borough,2110,Micropolitan,11,365,
02/02/2022,01/01/2020,01/29/2022,AK,Kenai Peninsula Borough,2122,Noncore,61,852,
02/02/2022,01/01/2020,01/29/2022,AK,Ketchikan Gateway Borough,2130,Micropolitan,11,212,
02/02/2022,01/01/2020,01/29/2022,AK,Kodiak Island Borough,2150,Noncore,,151,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Matanuska-Susitna Borough,2170,Medium metro,185,1511,
02/02/2022,01/01/2020,01/29/2022,AK,Nome Census Area,2180,Noncore,,128,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,North Slope Borough,2185,Noncore,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Northwest Arctic Borough,2188,Noncore,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Sitka City and Borough,2220,Noncore,,126,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Southeast Fairbanks Census Area,2240,Noncore,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Valdez-Cordova Census Area,2261,Noncore,,103,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Wade Hampton Census Area,2270,Noncore,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AK,Yukon-Koyukuk Census Area,2290,Noncore,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AL,Autauga County,1001,Medium metro,140,1115,
02/02/2022,01/01/2020,01/29/2022,AL,Baldwin County,1003,Small metro,538,5127,
02/02/2022,01/01/2020,01/29/2022,AL,Barbour County,1005,Noncore,63,586,
02/02/2022,01/01/2020,01/29/2022,AL,Bibb County,1007,Large fringe metro,41,419,
02/02/2022,01/01/2020,01/29/2022,AL,Blount County,1009,Large fringe metro,73,1065,
02/02/2022,01/01/2020,01/29/2022,AL,Bullock County,1011,Noncore,,207,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AL,Butler County,1013,Noncore,66,525,
02/02/2022,01/01/2020,01/29/2022,AL,Calhoun County,1015,Small metro,528,3603,
02/02/2022,01/01/2020,01/29/2022,AL,Chambers County,1017,Micropolitan,46,757,
02/02/2022,01/01/2020,01/29/2022,AL,Cherokee County,1019,Noncore,30,598,
02/02/2022,01/01/2020,01/29/2022,AL,Chilton County,1021,Large fringe metro,62,869,
02/02/2022,01/01/2020,01/29/2022,AL,Choctaw County,1023,Noncore,21,260,
02/02/2022,01/01/2020,01/29/2022,AL,Clarke County,1025,Noncore,27,593,
02/02/2022,01/01/2020,01/29/2022,AL,Clay County,1027,Noncore,43,414,
02/02/2022,01/01/2020,01/29/2022,AL,Cleburne County,1029,Noncore,24,310,
02/02/2022,01/01/2020,01/29/2022,AL,Coffee County,1031,Micropolitan,168,1181,
02/02/2022,01/01/2020,01/29/2022,AL,Colbert County,1033,Small metro,260,1586,
02/02/2022,01/01/2020,01/29/2022,AL,Conecuh County,1035,Noncore,30,288,
02/02/2022,01/01/2020,01/29/2022,AL,Coosa County,1037,Micropolitan,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/02/2022,01/01/2020,01/29/2022,AL,Covington County,1039,Noncore,200,1266,
02/02/2022,01/01/2020,01/29/2022,AL,Crenshaw County,1041,Noncore,42,389,
02/02/2022,01/01/2020,01/29/2022,AL,Cullman County,1043,Micropolitan,338,2505,
02/02/2022,01/01/2020,01/29/2022,AL,Dale County,1045,Micropolitan,118,1011,
02/02/2022,01/01/2020,01/29/2022,AL,Dallas County,1047,Micropolitan,170,1120,
02/02/2022,01/01/2020,01/29/2022,AL,DeKalb County,1049,Noncore,173,1655,
02/02/2022,01/01/2020,01/29/2022,AL,Elmore County,1051,Medium metro,76,1447,
02/02/2022,01/01/2020,01/29/2022,AL,Escambia County,1053,Noncore,128,939,
