"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","62","54","0","2020","A","",32,6759,524644610,0,0,1493,77618,"",2.09,1.19,1.31,0.00,0.00,1.09,1.09,"",1,3.2,66,1.0,32251128,6.5,0,0.0,0,0.0,78,5.5,4053,5.5
"01000","2","62","54","0","2020","A","",68,19125,1113484616,336939,9098,1120,58221,"",0.80,2.15,2.36,0.04,0.85,1.10,1.10,"",1,1.5,300,1.6,72316850,6.9,205297,156.0,5544,156.0,56,5.3,2914,5.3
"01000","3","62","54","0","2020","A","",220,34089,1803480919,19682809,140139,1017,52905,"",2.42,2.67,2.74,1.16,1.86,1.03,1.03,"",-8,-3.5,-488,-1.4,77488118,4.5,-393800,-2.0,-9432,-6.3,57,5.9,2988,6.0
"01000","5","62","54","0","2020","A","",14691,210551,10955407068,1759908055,17079640,1001,52032,"",0.67,0.78,0.91,1.07,1.11,1.16,1.16,"",2099,16.7,-8179,-3.7,311266595,2.9,-14816111,-0.8,-761940,-4.3,65,6.9,3369,6.9
"01001","2","62","74","0","2020","A","N",3,0,0,0,0,0,0,"N",5.12,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",1.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62","74","0","2020","A","",104,954,37456693,9860841,93223,755,39259,"",0.69,0.63,0.67,1.20,1.11,1.06,1.06,"",18,20.9,-93,-8.9,1144153,3.2,-347473,-3.4,-3253,-3.4,88,13.2,4579,13.2
"01003","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","62","74","0","2020","A","",721,9196,447474667,75465387,663954,936,48662,"",0.65,0.90,1.22,1.12,1.12,1.37,1.37,"",105,17.0,-374,-3.9,16329302,3.8,-1097973,-1.4,-51371,-7.2,70,8.1,3612,8.0
"01005","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",5.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","62","74","0","2020","A","N",68,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,"N",20,41.7,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",3.93,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","62","74","0","2020","A","",43,488,22208944,5072595,56397,875,45510,"",0.70,0.75,0.86,1.30,1.18,1.15,1.15,"",13,43.3,-2,-0.4,2475921,12.5,465932,10.1,-11472,-16.9,100,12.9,5211,12.9
"01009","5","62","74","0","2020","A","N",84,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,"N",15,21.7,0,0,0,0,0,0,0,0,0,0,0,0
"01011","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",15.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","62","74","0","2020","A","",44,513,22116639,5131164,69127,830,43147,"",1.44,1.25,1.49,2.01,1.97,1.19,1.19,"",18,69.2,-8,-1.5,1808470,8.9,433500,9.2,14559,26.7,80,10.7,4130,10.6
"01013","3","62","74","0","2020","A","",4,19,491423,0,0,511,26563,"",11.90,0.44,0.31,0.00,0.00,0.71,0.71,"",0,0.0,-2,-9.5,-35897,-6.8,0,0.0,0,0.0,16,3.2,840,3.3
"01013","5","62","74","0","2020","A","N",58,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,"N",13,28.9,0,0,0,0,0,0,0,0,0,0,0,0
"01015","1","62","74","0","2020","A","",5,67,4553145,0,0,1299,67537,"",16.88,0.53,0.61,0.00,0.00,1.14,1.14,"",1,25.0,10,17.5,559744,14.0,0,0.0,0,0.0,-54,-4.0,-2831,-4.0
"01015","2","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","62","74","0","2020","A","",15,1998,96026853,193287,5219,924,48065,"",8.54,6.97,7.82,0.59,4.06,1.12,1.12,"",0,0.0,-68,-3.3,4726758,5.2,193287,100.0,5219,100.0,74,8.7,3875,8.8
"01015","5","62","74","0","2020","A","",358,3904,168513523,36429104,351095,830,43166,"",0.84,0.65,0.75,1.16,1.33,1.15,1.15,"",43,13.7,-203,-4.9,3602247,2.2,-870783,-2.3,-36606,-9.4,58,7.5,3008,7.5
"01017","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",4.60,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","62","74","0","2020","A","N",73,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,"N",10,15.9,0,0,0,0,0,0,0,0,0,0,0,0
"01019","3","62","74","0","2020","A","N",3,0,0,0,0,0,0,"N",10.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","62","74","0","2020","A","N",44,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,"N",3,7.3,0,0,0,0,0,0,0,0,0,0,0,0
"01021","2","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",1.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","3","62","74","0","2020","A","",5,36,1192202,350210,2068,634,32964,"",8.74,0.60,0.49,4.55,6.60,0.81,0.81,"",1,25.0,-10,-21.7,-253664,-17.5,-87108,-19.9,-510,-19.8,24,3.9,1245,3.9
"01021","5","62","74","0","2020","A","",95,861,38121268,6558870,67685,851,44271,"",0.69,0.68,0.85,0.88,1.05,1.25,1.25,"",16,20.3,-80,-8.5,-1385383,-3.5,-809774,-11.0,-8355,-11.0,43,5.3,2276,5.4
"01023","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",8.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","62","74","0","2020","A","N",57,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,"N",27,90.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","2","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",4.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",4.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","62","74","0","2020","A","",81,929,35857246,8815348,99439,742,38587,"",0.72,0.84,0.88,1.36,1.75,1.04,1.04,"N",17,26.6,0,0,0,0,0,0,0,0,0,0,0,0
"01027","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",13.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","62","74","0","2020","A","N",33,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","3","62","74","0","2020","A","",5,140,5307270,1168070,6891,732,38045,"",30.95,9.94,8.15,71.43,67.42,0.82,0.82,"",0,0.0,-5,-3.4,509323,10.6,-17660,-1.5,-1883,-21.5,97,15.3,5032,15.2
"01029","5","62","74","0","2020","A","",24,77,2786304,679480,6695,699,36343,"",0.61,0.26,0.23,0.43,0.32,0.90,0.90,"",11,84.6,13,20.3,785872,39.3,190214,38.9,324,5.1,96,15.9,4964,15.8
"01031","1","62","74","0","2020","A","",1,3,253549,0,0,1540,80068,"",8.06,0.06,0.10,0.00,0.00,1.55,1.55,"",0,0.0,0,0.0,1446,0.6,0,0.0,0,0.0,121,8.5,6282,8.5
"01031","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",2.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","62","74","0","2020","A","",127,1994,82926701,18397021,152007,800,41593,"",0.71,0.89,1.13,1.28,1.28,1.27,1.27,"",15,13.4,-100,-4.8,1543283,1.9,-461576,-2.4,-7862,-4.9,52,7.0,2720,7.0
"01033","1","62","74","0","2020","A","",1,25,2079640,0,0,1573,81822,"",6.29,0.36,0.46,0.00,0.00,1.25,1.25,"",0,0.0,-2,-7.4,-80373,-3.7,0,0.0,0,0.0,35,2.3,1822,2.3
"01033","2","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","3","62","74","0","2020","A","N",6,0,0,0,0,0,0,"N",6.36,0,0,0,0,0,0,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","62","74","0","2020","A","",165,1927,94351233,17257822,175935,942,48967,"",0.72,0.59,0.70,0.86,0.74,1.19,1.18,"",23,16.2,-32,-1.6,1663312,1.8,78908,0.5,3720,2.2,32,3.5,1651,3.5
"01035","5","62","74","0","2020","A","N",25,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",2,8.7,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","62","74","0","2020","A","",12,117,3594748,859649,5759,590,30659,"",0.52,0.64,0.57,0.87,0.69,0.90,0.90,"",4,50.0,-10,-7.9,373805,11.6,-27448,-3.1,465,8.8,100,20.4,5197,20.4
"01039","2","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",1.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
