PolygonLayer2_label,Value0
,6.8
,5.9
,7.8
,7.9
,6.1
,10.1
,7.3
,7.9
,7.8
,8
,7.7
,6.5
,11.6
,5.4
,9.5
,7.1
,5.3
,5.9
,6.6
,8.3
,5.4
,6.8
,8.9
,9.9
,6.2
,8.1
,6.1
,5.9
,4.2
,12.8
,6.7
,9.8
,8.4
,10
,7.3
,5.1
,8.1
,6.1
,7.6
,9.1
,9.4
,6.2
,4.6
,7.5
,7.6
,4.7
,5.6
,6.2
,8.4
,8.3
,6.3
,5.8
,

fips1,name,year,ID2008,Textbox50,ID2009,Textbox53,ID2010,Textbox56,ID2011,Textbox59,ID20121,Textbox62,ID2013,Textbox65,ID20141,Textbox68,ID2015,Textbox71,ID20161,Textbox12,Textbox20,Textbox11
05000,Arkansas,2012,7.3,2013,7.1,2014,5.9,2015,5.0,2016,4.0,2017,3.7,2018,3.7,2019,3.5,2020,6.1,Median Household Income (2019),"$49,020",100.0%
05001,"Arkansas County, AR",2012,8.4,2013,7.1,2014,5.2,2015,4.1,2016,3.4,2017,3.3,2018,3.3,2019,3.0,2020,4.0,Median Household Income (2019),"$52,539",107.2%
05003,"Ashley County, AR",2012,11.5,2013,10.4,2014,8.9,2015,7.5,2016,6.1,2017,5.6,2018,5.3,2019,5.4,2020,9.3,Median Household Income (2019),"$47,744",97.4%
05005,"Baxter County, AR",2012,8.1,2013,7.8,2014,6.5,2015,5.4,2016,4.3,2017,4.3,2018,4.1,2019,4.0,2020,5.9,Median Household Income (2019),"$41,950",85.6%
05007,"Benton County, AR",2012,5.8,2013,5.5,2014,4.5,2015,3.7,2016,2.9,2017,3.0,2018,2.9,2019,2.6,2020,4.5,Median Household Income (2019),"$70,775",144.4%
05009,"Boone County, AR",2012,7.3,2013,6.8,2014,5.8,2015,4.8,2016,3.7,2017,3.5,2018,3.5,2019,3.2,2020,5.3,Median Household Income (2019),"$50,083",102.2%
05011,"Bradley County, AR",2012,10.4,2013,9.3,2014,7.8,2015,5.7,2016,5.0,2017,4.6,2018,4.3,2019,4.1,2020,5.8,Median Household Income (2019),"$39,982",81.6%
05013,"Calhoun County, AR",2012,8.6,2013,7.9,2014,6.4,2015,5.3,2016,4.6,2017,3.9,2018,3.8,2019,4.4,2020,5.2,Median Household Income (2019),"$48,415",98.8%
05015,"Carroll County, AR",2012,6.1,2013,5.8,2014,5.1,2015,4.5,2016,3.6,2017,3.4,2018,3.2,2019,3.1,2020,5.7,Median Household Income (2019),"$43,841",89.4%
05017,"Chicot County, AR",2012,10.9,2013,11.3,2014,10.2,2015,9.0,2016,6.6,2017,6.6,2018,6.7,2019,6.9,2020,10.3,Median Household Income (2019),"$37,014",75.5%
05019,"Clark County, AR",2012,9.5,2013,8.6,2014,6.7,2015,5.4,2016,4.3,2017,3.9,2018,3.7,2019,3.8,2020,5.9,Median Household Income (2019),"$44,105",90.0%
05021,"Clay County, AR",2012,10.6,2013,9.5,2014,7.7,2015,6.5,2016,5.7,2017,4.6,2018,4.3,2019,4.8,2020,6.0,Median Household Income (2019),"$40,686",83.0%
05023,"Cleburne County, AR",2012,8.2,2013,8.3,2014,8.1,2015,6.8,2016,5.9,2017,5.0,2018,4.5,2019,4.5,2020,7.6,Median Household Income (2019),"$46,214",94.3%
05025,"Cleveland County, AR",2012,7.1,2013,7.4,2014,6.7,2015,5.5,2016,4.5,2017,4.4,2018,3.8,2019,3.9,2020,6.1,Median Household Income (2019),"$53,773",109.7%
05027,"Columbia County, AR",2012,8.7,2013,8.6,2014,7.0,2015,6.4,2016,5.7,2017,5.1,2018,4.7,2019,4.4,2020,6.8,Median Household Income (2019),"$42,964",87.6%
05029,"Conway County, AR",2012,8.8,2013,9.0,2014,7.0,2015,6.0,2016,5.7,2017,4.8,2018,4.3,2019,4.3,2020,6.0,Median Household Income (2019),"$46,924",95.7%
05031,"Craighead County, AR",2012,6.6,2013,6.4,2014,5.3,2015,4.4,2016,3.3,2017,3.0,2018,3.0,2019,2.8,2020,5.3,Median Household Income (2019),"$47,766",97.4%
05033,"Crawford County, AR",2012,7.7,2013,7.5,2014,5.9,2015,5.1,2016,3.9,2017,3.6,2018,3.5,2019,3.3,2020,5.4,Median Household Income (2019),"$44,600",91.0%
05035,"Crittenden County, AR",2012,9.2,2013,8.2,2014,7.2,2015,6.1,2016,4.5,2017,4.4,2018,4.3,2019,4.2,2020,8.3,Median Household Income (2019),"$41,976",85.6%
05037,"Cross County, AR",2012,7.6,2013,7.4,2014,6.2,2015,5.3,2016,4.4,2017,4.0,2018,4.1,2019,4.2,2020,6.1,Median Household Income (2019),"$45,273",92.4%
